Company,Date,Title
A2M,21/08/2023,"""China’s Low Births, Weaker Growth Cut Infant Formula Demand, Says A2"""
A2M,14/08/2023,"""Here's What's Concerning About a2 Milk's (NZSE:ATM) Returns On Capital"""
A2M,07/06/2023,"""Institutions profited after The a2 Milk Company Limited's (NZSE:ATM) market cap rose NZ$209m last week butretail investors profited the most"""
A2M,20/05/2023,"""Are Investors Undervaluing The a2 Milk Company Limited (NZSE:ATM) By 49%?"""
A2M,14/04/2023,"""Are The a2 Milk Company Limited's (NZSE:ATM) Fundamentals Good Enough to Warrant Buying Given The Stock's Recent Weakness?"""
A2M,21/03/2023,"""a2 Milk (NZSE:ATM) sheds NZ$435m, company earnings and investor returns have been trending downwards for past three years"""
A2M,28/12/2022,"""The a2 Milk Company Limited's (NZSE:ATM) market cap touched NZ$5.2b last week, benefiting both individual investors who own 51% as well as institutions"""
A2M,07/12/2022,"""Trade Alert: The Independent Non-Executive Director Of The a2 Milk Company Limited (NZSE:ATM), Philippa Greenwood, Has Just Spent NZ$198k Buying A Few More Shares"""
A2M,06/12/2022,"""The a2 Milk Company Limited's (NZSE:ATM) Intrinsic Value Is Potentially 48% Above Its Share Price"""
A2M,05/11/2022,"""Has The a2 Milk Company Limited (NZSE:ATM) Stock's Recent Performance Got Anything to Do With Its Financial Health?"""
A2M,02/11/2022,"""UPDATE 1-NZ's a2 Milk gets temporary approval to export infant milk formula to U.S."""
A2M,12/10/2022,"""Investors in a2 Milk (NZSE:ATM) have unfortunately lost 54% over the last three years"""
AAA,No data for this company,"""No data for this company"""
ABC,25/05/2023,"""Adbri Limited's (ASX:ABC) Stock Is Rallying But Financials Look Ambiguous: Will The Momentum Continue?"""
ABC,11/05/2023,"""Adbri (ASX:ABC) May Have Issues Allocating Its Capital"""
ABC,25/04/2023,"""At AU$1.64, Is Adbri Limited (ASX:ABC) Worth Looking At Closely?"""
ABC,03/04/2023,"""The past five years for Adbri (ASX:ABC) investors has not been profitable"""
ABC,16/11/2022,"""Is It Too Late To Consider Buying Adbri Limited (ASX:ABC)?"""
ABC,24/10/2022,"""Adbri (ASX:ABC) stock falls 20% in past week as five-year earnings and shareholder returns continue downward trend"""
ABP,No data for this company,"""No data for this company"""
AFI,06/08/2023,"""We Wouldn't Be Too Quick To Buy Australian Foundation Investment Company Limited (ASX:AFI) Before It Goes Ex-Dividend"""
AFI,28/07/2023,"""Australian Foundation Investment (ASX:AFI) Will Pay A Dividend Of A$0.14"""
AFI,03/07/2023,"""Is Now The Time To Put Australian Foundation Investment (ASX:AFI) On Your Watchlist?"""
AFI,22/04/2023,"""Those who invested in Australian Foundation Investment (ASX:AFI) three years ago are up 39%"""
AFI,24/01/2023,"""Do Australian Foundation Investment's (ASX:AFI) Earnings Warrant Your Attention?"""
AFI,13/11/2022,"""Those who invested in Australian Foundation Investment (ASX:AFI) five years ago are up 46%"""
AGL,13/09/2022,"""Billionaire Climate Activist May Target More Major Polluters With Green Campaigns"""
AIA,20/08/2023,"""Does The Market Have A Low Tolerance For Auckland International Airport Limited's (NZSE:AIA) Mixed Fundamentals?"""
AIA,27/07/2023,"""Capital Allocation Trends At Auckland International Airport (NZSE:AIA) Aren't Ideal"""
AIA,06/07/2023,"""Investing in Auckland International Airport (NZSE:AIA) three years ago would have delivered you a 34% gain"""
AIA,13/06/2023,"""NZ's Auckland Airport revises dividend policy, shares fall"""
AIA,13/06/2023,"""Auckland International Airport Limited's (NZSE:AIA) market cap dropped NZ$427m last week; individual investors who hold 54% were hit as were institutions"""
AIA,13/03/2023,"""Auckland International Airport Limited's (NZSE:AIA) Has Performed Well But Fundamentals Look Varied: Is There A Clear Direction For The Stock?"""
AIA,24/02/2023,"""Auckland International Airport First Half 2023 Earnings: EPS: NZ$0.003 (vs NZ$0.074 in 1H 2022)"""
AIA,15/02/2023,"""UPDATE 4-Cyclone Gabrielle moves away from New Zealand, recovery efforts begin"""
