Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
A2M,2023-04-14,"""Are The a2 Milk Company Limited's (NZSE:ATM) Fundamentals Good Enough to Warrant Buying Given The Stock's Recent Weakness?""",0.5488635301589966,0.2199576944112777,0.231178879737854,0.18989374936271236
ABC,2023-04-25,"""At AU$1.64, Is Adbri Limited (ASX:ABC) Worth Looking At Closely?""",0.0591411851346492,0.0151452580466866,0.9257135391235352,0.23786132663241005
ABC,2023-04-03,"""The past five years for Adbri (ASX:ABC) investors has not been profitable""",0.0761014968156814,0.0123976692557334,0.911500871181488,0.13534612300237805
AFI,2023-04-22,"""Those who invested in Australian Foundation Investment (ASX:AFI) three years ago are up 39%""",0.9101414680480956,0.0133733842521905,0.0764851570129394,0.3952694173246127
AMP,2023-04-18,"""Australia's AMP says Q1 fund outflows lower, credit quality strong""",0.4471286833286285,0.5311499238014221,0.0217214003205299,-0.20126501908121
ANN,2023-04-12,"""Ansell's (ASX:ANN) investors will be pleased with their 13% return over the last year""",0.9345715641975404,0.0152384657412767,0.0501898974180221,0.31196765226580486
ANN,2023-04-29,"""A Look At The Fair Value Of Ansell Limited (ASX:ANN)""",0.0419946685433387,0.0205181259661912,0.9374871850013732,0.4266688051241103
ANZ,2023-04-06,"""ANZ Bank Completes Carbon Credits Trading as Part of Australia's CBDC Pilot""",0.0805364996194839,0.0105383368209004,0.9089251160621644,0.13948713696097537
APA,2023-04-04,"""An Intrinsic Calculation For APA Group (ASX:APA) Suggests It's 40% Undervalued""",0.0325450412929058,0.938148558139801,0.0293064080178737,-0.2815399100730688
APA,2023-04-26,"""Investing in APA Group (ASX:APA) five years ago would have delivered you a 57% gain""",0.8269793391227722,0.0090091163292527,0.1640114933252334,0.4615459571027468
APX,2023-04-26,"""The past three years for Appen (ASX:APX) investors has not been profitable""",0.0811287835240364,0.0120890960097312,0.9067821502685548,0.2530423770159352
APX,2023-04-09,"""While institutions own 33% of Appen Limited (ASX:APX), individual investors are its largest shareholders with 57% ownership""",0.0315377637743949,0.0168339367955923,0.9516282677650452,0.15175092062529072
ARB,2023-04-01,"""A Look Into ARB's (ASX:ARB) Impressive Returns On Capital""",0.5977616906166077,0.012761129066348,0.3894771635532379,0.17407219509608785
AUB,2023-04-03,"""Has AUB Group Limited's (ASX:AUB) Impressive Stock Performance Got Anything to Do With Its Fundamentals?""",0.0684062242507934,0.1340439468622207,0.7975497841835022,0.1184258563030243
AUB,2023-04-26,"""As AUB Group Limited (ASX:AUB) gains 3.3%, insiders who bought last year may be wishing they had bet higher""",0.3082927465438843,0.5533976554870605,0.1383096277713775,-0.30885711223587464
AZJ,2023-04-26,"""The past three years for Aurizon Holdings (ASX:AZJ) investors has not been profitable""",0.1112323254346847,0.0113593367859721,0.8774083256721497,0.24484545519108214
BAP,2023-04-02,"""Here's What To Make Of Bapcor's (ASX:BAP) Decelerating Rates Of Return""",0.031872984021902,0.0309370812028646,0.9371899366378784,0.1377735296532359
