Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
A2M,2023-08-21,"""China’s Low Births, Weaker Growth Cut Infant Formula Demand, Says A2""",0.0290504563599824,0.9505032896995544,0.0204462800174951,-0.38251066283743357
A2M,2023-08-14,"""Here's What's Concerning About a2 Milk's (NZSE:ATM) Returns On Capital""",0.0362440384924411,0.0656021982431411,0.8981537818908691,0.15251696303537138
AFI,2023-08-06,"""We Wouldn't Be Too Quick To Buy Australian Foundation Investment Company Limited (ASX:AFI) Before It Goes Ex-Dividend""",0.0402491018176078,0.0169863495975732,0.9427645802497864,0.14302355040295675
AIA,2023-08-20,"""Does The Market Have A Low Tolerance For Auckland International Airport Limited's (NZSE:AIA) Mixed Fundamentals?""",0.0777843743562698,0.3803488612174988,0.5418667793273926,0.10562913800833557
AIZ,2023-08-25,"""Too heavy? Another airline will soon start weighing passengers before they board""",0.023063339293003,0.3767825961112976,0.6001541018486023,0.14430655775102474
AIZ,2023-08-24,"""The Returns At Air New Zealand (NZSE:AIR) Aren't Growing""",0.0529550686478614,0.0382211506366729,0.908823788166046,0.2068117655200836
AIZ,2023-08-24,"""Air New Zealand Sees Boosted Profits, Readies for Strong Demand""",0.9512863159179688,0.0205287635326385,0.0281850155442953,0.43294906025093255
AIZ,2023-08-04,"""Economy Airline Passenger Invented a Genius Hack for Flying First Class-Style""",0.0721970126032829,0.0220218803733587,0.905781090259552,0.1344968093081371
AIZ,2023-08-23,"""Air New Zealand sees strong customer demand in 2024; swings to annual profit""",0.8715757727622986,0.0612956769764423,0.0671286359429359,0.37852054867122875
AKE,2023-08-22,"""FY23 full year results deliver record profit of US$524.6 million¹""",0.9402515292167664,0.0253682397305965,0.034380204975605,0.3921153437695727
AKE,2023-08-17,"""FY23 Full Year Results Briefing""",0.0314408466219902,0.2100123167037964,0.7585468292236328,0.13679396860037282
AKE,2023-08-11,"""James Bay Mineral Resource increased by 173% to 110.2 million tonnes""",0.9518598914146424,0.0169108919799327,0.0312292780727148,0.30794138410505423
AKE,2023-08-03,"""Livent Releases Second Quarter 2023 Results""",0.0180883035063743,0.0446900688111782,0.9372216463088988,0.13777819119848922
AKE,2023-08-03,"""James Bay Drilling Update""",0.0332993641495704,0.0246722344309091,0.9420283436775208,0.13848480960801432
AKE,2023-08-02,"""Allkem and Livent Announce Board of Directors for New TopCo""",0.0508873164653778,0.0143373692408204,0.9347752928733826,0.13610640302509985
