Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
A2M,2022-12-06,"""The a2 Milk Company Limited's (NZSE:ATM) Intrinsic Value Is Potentially 48% Above Its Share Price""",0.1446510702371597,0.0170252062380313,0.8383237719535828,0.1271791969743204
A2M,2022-12-28,"""The a2 Milk Company Limited's (NZSE:ATM) market cap touched NZ$5.2b last week, benefiting both individual investors who own 51% as well as institutions""",0.9476580023765564,0.0159420501440763,0.0363999381661415,0.5888130228915301
A2M,2022-12-07,"""Trade Alert: The Independent Non-Executive Director Of The a2 Milk Company Limited (NZSE:ATM), Philippa Greenwood, Has Just Spent NZ$198k Buying A Few More Shares""",0.0471737682819366,0.0329099148511886,0.9199162721633912,0.1411738819626906
AIA,2022-12-07,"""10 Best ASX Stocks to Buy Heading into 2023""",0.1353825181722641,0.0278729945421218,0.836744487285614,0.128410020624149
ALQ,2022-12-09,"""Investing in ALS (ASX:ALQ) five years ago would have delivered you a 99% gain""",0.8184307813644409,0.0080409292131662,0.1735283434391021,0.2575257767974421
ALQ,2022-12-24,"""While institutions own 31% of ALS Limited (ASX:ALQ), individual investors are its largest shareholders with 45% ownership""",0.0290528237819671,0.0181740149855613,0.952773094177246,0.2168128610986888
ANZ,2022-12-08,"""Here's Why Shareholders May Want To Be Cautious With Increasing Australia and New Zealand Banking Group Limited's (ASX:ANZ) CEO Pay Packet""",0.0440426096320152,0.1260391771793365,0.8299182653427124,0.1289143027716352
APA,2022-12-24,"""It Might Not Be A Great Idea To Buy APA Group (ASX:APA) For Its Next Dividend""",0.0483640916645526,0.0179970860481262,0.9336387515068054,0.21245865378010012
ARG,2022-12-06,"""Investing in Argo Investments (ASX:ARG) five years ago would have delivered you a 36% gain""",0.8766528964042664,0.0107996454462409,0.1125474721193313,0.26598795148106547
ASX,2022-12-20,"""Australian stock exchange's blockchain failure burns market trust""",0.0275960247963666,0.1137173473834991,0.8586865663528442,0.16738860045226464
ASX,2022-12-20,"""INSIGHT-Australian stock exchange's blockchain failure burns market trust""",0.0133977122604846,0.9181175827980042,0.0684846490621566,-0.35794764529255313
ASX,2022-12-07,"""Individual investors account for 53% of ASX Limited's (ASX:ASX) ownership, while institutions account for 46%""",0.0286343656480312,0.0183121003210544,0.9530535936355592,0.14625926250397606
ASX,2022-12-02,"""Australian Securities Exchange to cut up to 200 jobs from blockchain project""",0.0127758281305432,0.9602143168449402,0.0270098783075809,-0.27962081966723695
AUB,2022-12-03,"""AUB Group (ASX:AUB) shareholders have earned a 31% CAGR over the last three years""",0.8516829013824463,0.0111083984375,0.1372086405754089,0.2504067849676608
AWC,2022-12-08,"""As Alumina Limited (ASX:AWC) hits AU$4.7b market cap, insiders may be dismayed about not purchasing higher quantities""",0.0144681660458445,0.9623814821243286,0.0231503453105688,-0.298980617608551
AZJ,2022-12-15,"""Aurizon to sell ECR unit for $285 million to ease competition concerns""",0.8985652327537537,0.0093219224363565,0.0921128541231155,0.3108822352346117
BAP,2022-12-13,"""Is Now The Time To Put Bapcor (ASX:BAP) On Your Watchlist?""",0.0355522967875003,0.0431364774703979,0.9213112592697144,0.1537706268685879
BAP,2022-12-27,"""Quite a few insiders invested in Bapcor Limited (ASX:BAP) last year which is positive news for shareholders""",0.9302275776863098,0.0150320585817098,0.054740447551012,0.5191698962177554
BGA,2022-12-19,"""Bega Cheese Limited (ASX:BGA) is favoured by institutional owners who hold 51% of the company""",0.0970160290598869,0.0080334460362792,0.8949504494667053,0.16955873588338793
BPT,2022-12-28,"""Do Its Financials Have Any Role To Play In Driving Beach Energy Limited's (ASX:BPT) Stock Up Recently?""",0.5575125217437744,0.0208309367299079,0.4216564297676086,0.34640200621383227
BRG,2022-12-08,"""The Returns On Capital At Breville Group (ASX:BRG) Don't Inspire Confidence""",0.0783038437366485,0.1191680282354354,0.8025280833244324,0.12465968353365922
BSL,2022-12-26,"""An Intrinsic Calculation For BlueScope Steel Limited (ASX:BSL) Suggests It's 24% Undervalued""",0.0411794111132621,0.9236599802970886,0.0351606532931327,-0.4746673327879504
BSL,2022-12-05,"""Is BlueScope Steel Limited's (ASX:BSL) Recent Stock Performance Tethered To Its Strong Fundamentals?""",0.3348771929740906,0.1139356791973114,0.5511871576309204,0.08270608180677655
CAR,2022-12-30,"""Bullish insiders bet AU$8.5m on carsales.com Ltd (ASX:CAR)""",0.0501723140478134,0.1082653328776359,0.8415623903274536,0.383011549664947
CBA,2022-12-29,"""Investing in Commonwealth Bank of Australia (ASX:CBA) three years ago would have delivered you a 44% gain""",0.862373411655426,0.009058347903192,0.1285681873559951,0.6220709221948899
CDA,2022-12-19,"""44% of Codan Limited (ASX:CDA) is owned by insiders, and they've been buying recently""",0.070628322660923,0.0190161168575286,0.9103555679321288,0.17247741413500237
CHC,2022-12-14,"""Is Weakness In Charter Hall Group (ASX:CHC) Stock A Sign That The Market Could be Wrong Given Its Strong Financial Prospects?""",0.015720734372735,0.9502232670783995,0.0340560749173164,-0.3227179349960257
CMW,2022-12-27,"""Investors in Cromwell Property Group (ASX:CMW) have unfortunately lost 29% over the last three years""",0.0102144163101911,0.9723074436187744,0.0174781139940023,-0.5426551165585157
CNU,2022-12-03,"""Individual investors account for 58% of Chorus Limited's (NZSE:CNU) ownership, while institutions account for 42%""",0.0308172293007373,0.0182811859995126,0.9509015083312988,0.13978922738476823
COH,2022-12-16,"""Capital Allocation Trends At Cochlear (ASX:COH) Aren't Ideal""",0.0320818461477756,0.0478847734630107,0.9200333952903748,0.16236571051391313
COH,2022-12-01,"""Individual investors account for 52% of Cochlear Limited's (ASX:COH) ownership, while institutions account for 47%""",0.0329932793974876,0.0162351299077272,0.9507715702056884,0.13716734293539595
CPU,2022-12-20,"""While institutions own 46% of Computershare Limited (ASX:CPU), individual investors are its largest shareholders with 48% ownership""",0.0304158069193363,0.0169588588178157,0.952625334262848,0.18570061266348672
DDR,2022-12-06,"""Investing in Dicker Data (ASX:DDR) five years ago would have delivered you a 372% gain""",0.7771342396736145,0.012269364669919,0.2105963826179504,0.23579268976858206
DHG,2022-12-13,"""Individual investors own 33% of Domain Holdings Australia Limited (ASX:DHG) shares but public companies control 55% of the company""",0.0242169685661792,0.0243682451546192,0.9514147639274596,0.15879502523080066
DOW,2022-12-19,"""With 56% institutional ownership, Downer EDI Limited (ASX:DOW) is a favorite amongst the big guns""",0.1241813451051712,0.0083215795457363,0.8674970269203186,0.16435736677361018
EBO,2022-12-31,"""EBOS Group Limited's (NZSE:EBO) Stock Has Seen Strong Momentum: Does That Call For Deeper Study Of Its Financial Prospects?""",0.7339566946029663,0.0099102109670639,0.256133109331131,1.058875683530955
ELD,2022-12-09,"""Non-Executive Director Matthew Quinn Just Bought 33% More Shares In Elders Limited (ASX:ELD)""",0.0821105688810348,0.0112759573385119,0.9066134691238404,0.1426365816189748
ELD,2022-12-07,"""While institutions own 40% of Elders Limited (ASX:ELD), individual investors are its largest shareholders with 58% ownership""",0.0312223080545663,0.0169019605964422,0.9518757462501526,0.14607850552337998
ELD,2022-12-23,"""Elders Limited's (ASX:ELD) Stock Has Been Sliding But Fundamentals Look Strong: Is The Market Wrong?""",0.0148731460794806,0.9526873230934144,0.0324395969510078,-0.41374684739865025
EVN,2022-12-16,"""Despite Evolution Mining Limited's recent decline, insiders have made a around AU$41k profit after buying earlier this year.""",0.4050473570823669,0.5432477593421936,0.0517049394547939,-0.19174262343563725
FBU,2022-12-21,"""Earnings growth of 5.8% over 5 years hasn't been enough to translate into positive returns for Fletcher Building (NZSE:FBU) shareholders""",0.9121763110160828,0.0469891019165515,0.0408345535397529,0.36708675196869267
FLT,2022-12-07,"""Flight Centre Travel Group Limited (ASX:FLT) Shares Could Be 48% Below Their Intrinsic Value Estimate""",0.0073286886326968,0.952546238899231,0.040125124156475,-0.2923628037976051
GMG,2022-12-01,"""Goodman Group (ASX:GMG) most popular amongst individual investors who own 48% of the shares, institutions hold 38%""",0.0715092942118644,0.0096086012199521,0.918882131576538,0.13256666943869513
GMG,2022-12-07,"""10 Best ASX Stocks to Buy Heading into 2023""",0.1353825181722641,0.0278729945421218,0.836744487285614,0.128410020624149
GOR,2022-12-12,"""Painful week for individual investors invested in Gold Road Resources Limited (ASX:GOR) after 4.2% drop, institutions also suffered losses""",0.0145181249827146,0.97509503364563,0.0103868879377841,-0.3202784849156075
HUB,2022-12-06,"""HUB24's (ASX:HUB) investors will be pleased with their impressive 185% return over the last five years""",0.9420537352561952,0.0165432803332805,0.0414029732346534,0.2858314211401742
