Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
AFI,2023-01-24,"""Do Australian Foundation Investment's (ASX:AFI) Earnings Warrant Your Attention?""",0.0816998183727264,0.0137456469237804,0.904554545879364,0.20584025757075558
AIA,2023-01-03,"""Painful week for individual investors invested in Auckland International Airport Limited (NZSE:AIA) after 3.9% drop, institutions also suffered losses""",0.0163697730749845,0.974454700946808,0.0091756070032715,-0.28650342558790126
AIA,2023-01-27,"""Auckland International Airport (NZSE:AIA) shareholders have earned a 6.5% CAGR over the last five years""",0.6749592423439026,0.0141765000298619,0.3108642399311065,0.3767019256411106
AIA,2023-01-30,"""UPDATE 3-New Zealand counts cost of Auckland floods, more rain forecast""",0.0406840406358242,0.1709416061639785,0.7883743047714233,0.3588046087338055
ALD,2023-01-05,"""Ampol (ASX:ALD) Might Become A Compounding Machine""",0.0357953496277332,0.026849253103137,0.9373553991317748,0.14065094088155017
ALQ,2023-01-07,"""Great news for ALS Limited (ASX:ALQ): Insiders acquired stock in large numbers last year""",0.9197450280189514,0.0334848910570144,0.0467700138688087,0.282295204358026
ALQ,2023-01-22,"""What Does ALS Limited's (ASX:ALQ) Share Price Indicate?""",0.0215003602206707,0.0596189349889755,0.9188807010650636,0.19160150809937573
ALX,2023-01-07,"""With 81% ownership of the shares, Atlas Arteria Limited (ASX:ALX) is heavily dominated by institutional owners""",0.0654481798410415,0.0094018056988716,0.9251499772071838,0.14197706642679658
ANN,2023-01-03,"""With 54% institutional ownership, Ansell Limited (ASX:ANN) is a favorite amongst the big guns""",0.16289784014225,0.0078462101519107,0.8292559385299683,0.12190647079187054
ANN,2023-01-31,"""Ansell's (ASX:ANN) Returns On Capital Are Heading Higher""",0.9332556128501892,0.0432715751230716,0.0234728511422872,1.3464032445407583
ASX,2023-01-16,"""Bain Capital explores Virgin Australia IPO as aviation market improves""",0.1361609250307083,0.0126598263159394,0.8511792421340942,0.15021446300889746
AWC,2023-01-09,"""Alcoa's Australia unit flags production cuts at alumina refinery""",0.0109882121905684,0.963621973991394,0.025389689952135,-0.30321134424771307
AWC,2023-01-09,"""UPDATE 2-Alcoa's Australia unit flags 30% production cut at alumina refinery""",0.0135561563074588,0.9679772257804872,0.0184665769338607,-0.3045817589799948
AZJ,2023-01-09,"""An Intrinsic Calculation For Aurizon Holdings Limited (ASX:AZJ) Suggests It's 26% Undervalued""",0.028219286352396,0.9482451677322388,0.023535568267107,-0.29837290944452666
BEN,2023-01-21,"""Bendigo and Adelaide Bank (ASX:BEN) shareholders have earned a 22% return over the last year""",0.949804425239563,0.0194981079548597,0.0306975096464157,0.3822294190892827
BGA,2023-01-16,"""Bega Cheese Limited's (ASX:BGA) On An Uptrend But Financial Prospects Look Pretty Weak: Is The Stock Overpriced?""",0.0122764762490987,0.9598107933998108,0.0279127061367034,-0.3387710972819583
BGA,2023-01-02,"""Bega Cheese Limited (ASX:BGA) insiders placed bullish bets worth AU$65m in the last 12 months""",0.0424811020493507,0.8347935080528259,0.1227253302931785,-0.2430974428100659
BPT,2023-01-31,"""Insiders who bought this year lost AU$13k as Beach Energy Limited (ASX:BPT) sheds AU$182m in value""",0.0156967621296644,0.9625736474990844,0.0217296034097671,-1.3887002277373302
BRG,2023-01-03,"""Breville Group Limited (ASX:BRG) is definitely on the radar of institutional investors who own 49% of the company""",0.1042539551854133,0.0118391187861561,0.883906900882721,0.1299405476507156
BRG,2023-01-27,"""Breville Group (ASX:BRG) jumps 7.3% this week, though earnings growth is still tracking behind five-year shareholder returns""",0.9159864783287048,0.0652780085802078,0.0187355037778615,0.5112217873325039
CAR,2023-01-13,"""Is carsales.com Ltd (ASX:CAR) Expensive For A Reason? A Look At Its Intrinsic Value""",0.0438950210809707,0.0246131662279367,0.9314917922019958,0.15546979955871013
CDA,2023-01-17,"""David Uhrig of Codan Limited (ASX:CDA) Just Spent AU$11m On Shares""",0.0491344481706619,0.0230580903589725,0.9278074502944946,0.1673179009299626
CIP,2023-01-23,"""One Centuria Industrial REIT (ASX:CIP) insider upped their stake by 39% in the previous year""",0.954538345336914,0.0168612450361251,0.0286003965884447,0.4145507361448823
CLW,2023-01-12,"""Charter Hall Long WALE REIT (ASX:CLW) is definitely on the radar of institutional investors who own 49% of the company""",0.1472821831703186,0.0124408332630991,0.8402770161628723,0.13799816446601706
CNU,2023-01-07,"""Bullish insiders at Chorus Limited (NZSE:CNU) loaded up on NZ$1.7m of stock earlier this year""",0.4423978924751282,0.2198376357555389,0.3377645015716553,0.13578415719497972
CNU,2023-01-28,"""Chorus Limited's (NZSE:CNU) Intrinsic Value Is Potentially 83% Above Its Share Price""",0.1872883290052414,0.01370694860816,0.7990047931671143,0.24822479543765258
