Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
AFI,2023-07-03,"""Is Now The Time To Put Australian Foundation Investment (ASX:AFI) On Your Watchlist?""",0.0346816815435886,0.0338077247142791,0.9315106272697448,0.1369386311262121
AFI,2023-07-28,"""Australian Foundation Investment (ASX:AFI) Will Pay A Dividend Of A$0.14""",0.0400656014680862,0.0153171429410576,0.9446172118186952,0.293461836744626
AIA,2023-07-27,"""Capital Allocation Trends At Auckland International Airport (NZSE:AIA) Aren't Ideal""",0.0326688885688781,0.1129748374223709,0.8543562889099121,0.23841266185075474
AIA,2023-07-06,"""Investing in Auckland International Airport (NZSE:AIA) three years ago would have delivered you a 34% gain""",0.8985434174537659,0.0107160508632659,0.0907405540347099,0.2726298217979171
AIZ,2023-07-13,"""Shareholders in Air New Zealand (NZSE:AIR) are in the red if they invested five years ago""",0.020445205271244,0.109185054898262,0.8703697323799133,0.14526827715270915
AIZ,2023-07-25,"""15 Most Luxurious Airlines in the World""",0.2701219618320465,0.0145181724801659,0.7153598666191101,0.17200768867039676
AKE,2023-07-24,"""US$130M Project Financing for Sal de Vida signed""",0.3041722774505615,0.0075097922235727,0.6883179545402527,0.15663350065352155
AKE,2023-07-18,"""First Production Achieved at Olaroz Stage 2""",0.2275785058736801,0.0099960202351212,0.7624254822731018,0.1407701899253539
AKE,2023-07-26,"""June 2023 Quarterly Activities Report""",0.0180453285574913,0.099918209016323,0.8820365071296692,0.2266385494617709
ALL,2023-07-27,"""Aristocrat Gaming Unveils First Look at NFL-Themed Slot Machines""",0.1235293671488761,0.0114933103322982,0.8649773001670837,0.24137651147442868
ALL,2023-07-19,"""Slowing Rates Of Return At Aristocrat Leisure (ASX:ALL) Leave Little Room For Excitement""",0.0590878129005432,0.782905101776123,0.1580071151256561,-0.2966608921263036
ALL,2023-07-05,"""Are Strong Financial Prospects The Force That Is Driving The Momentum In Aristocrat Leisure Limited's ASX:ALL) Stock?""",0.1821612566709518,0.0097670201212167,0.8080717325210571,0.12125182143735973
ALL,2023-07-18,"""NeoGames Shareholders Approve Business Combination Agreement with Aristocrat Leisure""",0.6435462832450867,0.0101605160161852,0.3462932109832763,0.23764193255470498
ALQ,2023-07-03,"""Insider Stock Buying Reaches AU$891k On ALS""",0.1180518269538879,0.0320713445544242,0.8498768210411072,0.12493788593735992
ALQ,2023-07-17,"""Calculating The Intrinsic Value Of ALS Limited (ASX:ALQ)""",0.0427024737000465,0.0166573990136384,0.940640151500702,0.16963211022888827
ALQ,2023-07-31,"""Is There Now An Opportunity In ALS Limited (ASX:ALQ)?""",0.1559690833091735,0.0090023977681994,0.8350285291671753,0.6023457590151445
ALU,2023-07-05,"""Altium Limited's (ASX:ALU) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong?""",0.0326359048485755,0.9230974912643432,0.0442666597664356,-0.2770230603930752
ALU,2023-07-12,"""ANSYS (ANSS) & Altium to Improve Electronic Design Workflow""",0.8797587752342224,0.0074837813153862,0.112757459282875,0.2889644577203616
ALU,2023-07-19,"""Estimating The Intrinsic Value Of Altium Limited (ASX:ALU)""",0.081699401140213,0.0118625545874238,0.9064379930496216,0.17173518416550823
ALU,2023-07-11,"""Ansys and Altium Boost Electronics Design with Digital Continuity""",0.6769989728927612,0.0105844708159565,0.3124165832996368,0.2190196294965875
AMC,2023-07-13,"""Amcor Lift-Off winner, Greyparrot, to advance AI-powered waste analytics for circular economy""",0.813123345375061,0.0077367988415062,0.1791398823261261,0.27142724086301984
AMC,2023-07-22,"""3 High-Dividend Stocks to Buy for Steady Income""",0.1114794388413429,0.0157510973513126,0.8727694749832153,0.1819865706571671
AMC,2023-07-05,"""11 Best Packaging Stocks to Buy Now""",0.1118927523493766,0.0150843951851129,0.8730228543281555,0.1309977901509792
AMP,2023-07-05,"""Federal court rules against Australia's AMP in class action proceedings, shares tank""",0.0249876957386732,0.3843915164470672,0.590620756149292,0.08862312537327395
ANN,2023-07-10,"""Ansell (ASX:ANN) Is Looking To Continue Growing Its Returns On Capital""",0.9362096786499025,0.0102925328537821,0.0534977801144123,0.29858440621376586
APX,2023-07-12,"""Google’s AI Chatbot Is Trained by Humans Who Say They’re Overworked, Underpaid and Frustrated""",0.0093761552125215,0.9248220920562744,0.0658016949892044,-0.303765897927762
APX,2023-07-20,"""A Look At The Intrinsic Value Of Appen Limited (ASX:APX)""",0.0569004490971565,0.0134277986362576,0.9296717643737792,0.18122614422567995
ARG,2023-07-17,"""Here's Why We Think Argo Investments (ASX:ARG) Might Deserve Your Attention Today""",0.23751200735569,0.008872902020812,0.7536150813102722,0.13590459256818282
AUB,2023-07-30,"""AUB Group Limited (ASX:AUB) most popular amongst retail investors who own 45% of the shares, institutions hold 44%""",0.0821942836046218,0.0088220266625285,0.9089837074279784,0.4136963134328192
AWC,2023-07-17,"""Alumina Limited's (ASX:AWC) institutional shareholders had a great week as one-year returns increased after a 7.5% gain last week""",0.9519758224487304,0.0242796167731285,0.0237445216625928,0.34335269952324393
AZJ,2023-07-25,"""A Note On Aurizon Holdings Limited's (ASX:AZJ) ROE and Debt To Equity""",0.0260679814964532,0.0283758956938982,0.945556104183197,0.2273581837312311
BAP,2023-07-19,"""Is Bapcor Limited (ASX:BAP) Trading At A 37% Discount?""",0.0563127249479293,0.0174801331013441,0.9262071251869202,0.17548067538986536
BEN,2023-07-04,"""Bendigo and Adelaide Bank's (ASX:BEN) 14% CAGR outpaced the company's earnings growth over the same three-year period""",0.9490410685539246,0.0310005880892276,0.0199584066867828,0.28184071625145474
BHP,2023-07-27,"""New Strong Sell Stocks for July 27th""",0.182337611913681,0.0342981964349746,0.7833642363548279,0.21860195238491617
BHP,2023-07-26,"""The Next Gold Rush: 3 Rare Earth Metals Stocks to Buy Now""",0.0799899026751518,0.0142028862610459,0.9058071970939636,0.23274640854658898
BHP,2023-07-31,"""PRESS DIGEST-Financial Times - July 31""",0.0252823308110237,0.0474706813693046,0.9272469878196716,0.6688673155033347
BHP,2023-07-24,"""New Strong Sell Stocks for July 24th""",0.1829666644334793,0.0309370644390583,0.7860962748527527,0.17888391631905184
BLD,2023-07-10,"""Boral Limited (ASX:BLD) Has Fared Decently But Fundamentals Look Uncertain: What Lies Ahead For The Stock?""",0.3193145096302032,0.1929798573255539,0.4877056777477264,0.07777173934336269
BOQ,2023-07-30,"""Investors in Bank of Queensland (ASX:BOQ) have unfortunately lost 25% over the last five years""",0.0112996129319071,0.9728537797927856,0.0158465281128883,-0.8855296721395807
BRG,2023-07-06,"""Breville Group (ASX:BRG) stock performs better than its underlying earnings growth over last five years""",0.9528188705444336,0.0265869125723838,0.0205941889435052,0.28909770394660733
BSL,2023-07-14,"""Is BlueScope Steel Limited's (ASX:BSL) Stock's Recent Performance A Reflection Of Its Financial Health?""",0.019454151391983,0.8986295461654663,0.0819163247942924,-0.30519550669033224
BXB,2023-07-27,"""The Returns At Brambles (ASX:BXB) Aren't Growing""",0.0445305220782756,0.0426864922046661,0.9127829670906068,0.25471693683412255
BXB,2023-07-05,"""Should You Be Adding Brambles (ASX:BXB) To Your Watchlist Today?""",0.0301131382584571,0.0409168787300586,0.9289699792861938,0.1393927018058909
CAR,2023-07-24,"""With EPS Growth And More, carsales.com (ASX:CAR) Makes An Interesting Case""",0.3820532262325287,0.0088603282347321,0.6090863943099976,0.13860358212641527
CBA,2023-07-26,"""Commonwealth Bank of Australia could cut up to 200 jobs - source""",0.0108606126159429,0.9614535570144652,0.0276858191937208,-0.49408938921523426
CBA,2023-07-14,"""Australia No.3 bank reaches union deal that lets staff work from home""",0.8054323196411133,0.089618407189846,0.1049493178725242,0.27354355968658184
