Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
A2M,2023-06-07,"""Institutions profited after The a2 Milk Company Limited's (NZSE:ATM) market cap rose NZ$209m last week butretail investors profited the most""",0.943356156349182,0.033080406486988,0.0235634446144104,0.29307006783581296
A2M,2023-06-07,"""Institutions profited after The a2 Milk Company Limited's (NZSE:ATM) market cap rose NZ$209m last week but retail investors profited the most""",0.9447042346000672,0.0325538553297519,0.022741861641407,0.29348887189171047
AIA,2023-06-13,"""NZ's Auckland Airport revises dividend policy, shares fall""",0.0193834379315376,0.9111242294311525,0.0694923549890518,-0.3094389919023176
AIA,2023-06-13,"""Auckland International Airport Limited's (NZSE:AIA) market cap dropped NZ$427m last week; individual investors who hold 54% were hit as were institutions""",0.0079913977533578,0.9743618965148926,0.0176466032862663,-0.33091597530431105
AIZ,2023-06-07,"""Air New Zealand raises full-year forecast on stronger demand, lower fuel prices""",0.913638472557068,0.063587948679924,0.0227736104279756,0.2838377502786948
AIZ,2023-06-14,"""Strong week for Air New Zealand (NZSE:AIR) shareholders doesn't alleviate pain of five-year loss""",0.0738711431622505,0.9042388796806335,0.021889979019761,-0.31284518235772146
AIZ,2023-06-01,"""Passport? Check. Boarding pass? Got it. Now please step on this scale, says Air New Zealand""",0.209706500172615,0.0093721412122249,0.7809213399887085,0.11370475390367553
ALL,2023-06-06,"""Estimating The Intrinsic Value Of Aristocrat Leisure Limited (ASX:ALL)""",0.0648014098405838,0.0136484922841191,0.9215500950813292,0.14142461469864112
ALQ,2023-06-19,"""While institutions own 34% of ALS Limited (ASX:ALQ), retail investors are its largest shareholders with 43% ownership""",0.0340179502964019,0.0154137583449482,0.9505682587623596,0.18529961537001108
ALQ,2023-06-04,"""ALS Limited (ASX:ALQ) Stock Goes Ex-Dividend In Just Four Days""",0.045387290418148,0.3591704368591308,0.5954422950744629,0.08934660121493491
ALU,2023-06-06,"""Altium (ASX:ALU) Is Reinvesting To Multiply In Value""",0.809445321559906,0.0100457575172185,0.1805089712142944,0.2484411717436253
ALX,2023-06-17,"""With 80% ownership of the shares, Atlas Arteria Limited (ASX:ALX) is heavily dominated by institutional owners""",0.0631341859698295,0.0094597311690449,0.927406132221222,0.1712313405127712
ANN,2023-06-13,"""With 52% ownership, Ansell Limited (ASX:ANN) boasts of strong institutional backing""",0.905539572238922,0.0087734926491975,0.0856868624687194,0.30754231235427976
ANZ,2023-06-29,"""New Zealand business confidence improves in June- ANZ survey""",0.9377508759498596,0.0291013401001691,0.0331477746367454,0.8535776320932394
APA,2023-06-26,"""APA Group (ASX:APA) Is Increasing Its Dividend To A$0.29""",0.9473214149475098,0.0174953881651163,0.035183161497116,0.5287101484417688
APX,2023-06-12,"""Appen Appoints Fab Dolan as Chief Marketing Officer""",0.0301133692264556,0.0529657527804374,0.916920840740204,0.15303784801377024
ASX,2023-06-06,"""Bourse operator ASX on track for worst day in 11 years on higher cost outlook""",0.0899340361356735,0.8878998756408691,0.022166097536683,-0.27252104573305763
BGA,2023-06-18,"""Bega Cheese Insiders Added AU$15m Of Stock To Their Holdings \""",0.0686379298567771,0.0158491916954517,0.9155128598213196,0.17345452286078036
BKW,2023-06-07,"""Brickworks (ASX:BKW) Will Be Hoping To Turn Its Returns On Capital Around""",0.9273337125778198,0.0093085430562496,0.0633577033877372,0.2880924158097308
BLD,2023-06-12,"""A Look At The Fair Value Of Boral Limited (ASX:BLD)""",0.0548070669174194,0.0147357368841767,0.9304572343826294,0.15529712761661113
BRG,2023-06-12,"""Breville Group Limited (ASX:BRG) is largely controlled by institutional shareholders who own 54% of the company""",0.0267509203404188,0.0175371170043945,0.9557119607925416,0.15951224500758399
BXB,2023-06-06,"""The five-year decline in earnings might be taking its toll on Brambles (ASX:BXB) shareholders as stock falls 4.4% over the past week""",0.008580308407545,0.975086748600006,0.0163329150527715,-0.29928111006561486
BXB,2023-06-01,"""Are Industrial Products Stocks Lagging  Hubbell (HUBB) This Year?""",0.0137263927608728,0.9467594623565674,0.039514172822237,-0.27570267621265465
CBA,2023-06-08,"""Australia's Commonwealth Bank Will Partially Restrict Payments to Crypto Exchanges""",0.0258743409067392,0.1135275512933731,0.8605981469154358,0.13539703744118364
CBA,2023-06-08,"""Australia's largest bank blocks payments to some crypto exchanges""",0.011609680019319,0.8246097564697266,0.1637806296348571,-0.2594700406252858
CBA,2023-06-07,"""Investing in Commonwealth Bank of Australia (ASX:CBA) five years ago would have delivered you a 75% gain""",0.7871372103691101,0.0079702921211719,0.204892486333847,0.24453792354706322
CDA,2023-06-26,"""Bullish Codan Insiders Loaded Up On AU$12m Of Stock""",0.2530235350131988,0.0472867228090763,0.6996897459030151,0.19525214123870738
CGF,2023-06-09,"""Investors in Challenger (ASX:CGF) have unfortunately lost 42% over the last five years""",0.011226194910705,0.9721616506576538,0.0166121311485767,-0.3100505322952957
CHC,2023-06-03,"""Declining Stock and Solid Fundamentals: Is The Market Wrong About Charter Hall Group (ASX:CHC)?""",0.0108748953789472,0.9577075242996216,0.03141750395298,-0.2844144300512701
CIA,2023-06-19,"""Champion Iron's (ASX:CIA) Returns On Capital Are Heading Higher""",0.9469946026802064,0.0224989503622055,0.0305063799023628,0.36920596499317326
CIA,2023-06-12,"""CHAMPION IRON ANNOUNCES RESUMPTION OF RAILWAY SERVICES FOLLOWING INTERRUPTIONS DUE TO FOREST FIRES IN QUÉBEC""",0.0270255524665117,0.8410925269126892,0.1318819373846054,-0.28076358302701665
CIA,2023-06-06,"""CHAMPION IRON PROVIDES AN UPDATE ON THE IMPACT OF FOREST FIRES IN QUÉBEC""",0.0448795855045318,0.0198995992541313,0.9352208375930786,0.14352257931574405
CIA,2023-06-04,"""Is Champion Iron Limited (ASX:CIA) Trading At A 50% Discount?""",0.0447017364203929,0.0189016293734312,0.936396598815918,0.14050707211345248
CMW,2023-06-01,"""Owning 44% shares,institutional owners seem interested in Cromwell European Real Estate Investment Trust (SGX:CWBU),""",0.1085367128252983,0.0077734887599945,0.8836897611618042,0.12866817907877073
CNU,2023-06-17,"""Chorus Insiders Placed Bullish Bets Worth NZ$1.8m \""",0.0475957803428173,0.7682888507843018,0.1841153502464294,-0.28370554226491024
COH,2023-06-18,"""Is Cochlear Limited's (ASX:COH) Recent Stock Performance Influenced By Its Financials In Any Way?""",0.0271576363593339,0.2044378966093063,0.768404483795166,0.14558313591224442
COL,2023-06-02,"""Australia's Coles to take $17 million provision to compensate underpaid staff""",0.9138034582138062,0.026911960914731,0.0592844821512699,0.2686711048116922
CSL,2023-06-28,"""FDA Accepts Pfizer's (PFE) Hemophilia B Gene Therapy Filing""",0.8372586369514465,0.0077760708518326,0.1549653112888336,0.6039544417356525
CSL,2023-06-20,"""uniQure announces achievement of $100 million milestone related to hemophilia B gene therapy""",0.8855137228965759,0.0102916909381747,0.104194551706314,0.3563569371799635
CSL,2023-06-20,"""CSL Behring Announces the First Patient Has Received FDA-Approved HEMGENIX® (etranacogene dezaparvovec-drlb) for Hemophilia B""",0.8478537201881409,0.0092069637030363,0.1429393142461776,0.34120143718898877
CSL,2023-06-05,"""Injectafer® approved in the U.S. for the treatment of iron deficiency in patients with heart failure""",0.7473180890083313,0.0157683789730072,0.2369136065244674,0.2267460797943965
CTD,2023-06-10,"""Institutions along with retail investors who hold considerable shares inCorporate Travel Management Limited (ASX:CTD) come under pressure; lose 5.4% of holdings value""",0.0093970252200961,0.968424379825592,0.0221786499023437,-0.3133002520794985
CWY,2023-06-13,"""Cleanaway Waste Management Limited (ASX:CWY) is favoured by institutional owners who hold 54% of the company""",0.069715991616249,0.009165184572339,0.9211188554763794,0.15641669975058284
DEG,2023-06-28,"""De Grey Mining Ltd. Announces Increased Investment in Novo Resources Corp.""",0.8609554171562195,0.0172137785702943,0.1218308582901954,0.6210480553788833
DEG,2023-06-28,"""Novo Closes Cornerstone Investment With De Grey Mining""",0.0470836088061332,0.0208452902734279,0.932071089744568,0.33617358473261505
DEG,2023-06-21,"""De Grey to Invest A$25 Million to Earn 50% in Egina JV and Complete A$10 Million Cornerstone Investment""",0.6484819054603577,0.0073535442352294,0.3441645503044128,0.270437959829485
DHG,2023-06-01,"""Domain Holdings Australia Limited (ASX:DHG) stock most popular amongst public companies who own 60%, while individual investors hold 28%""",0.0832058414816856,0.0091377682983875,0.90765643119812,0.1321578062394388
DOW,2023-06-14,"""Returns On Capital Signal Difficult Times Ahead For Downer EDI (ASX:DOW)""",0.0736826881766319,0.4877315461635589,0.4385856986045837,-0.16874353440215162
EBO,2023-06-10,"""EBOS Group Limited (NZSE:EBO) Stock Has Shown Weakness Lately But Financials Look Strong: Should Prospective Shareholders Make The Leap?""",0.1250599026679992,0.7655907273292542,0.1093493923544883,-0.24768043107834542
ELD,2023-06-04,"""Could The Market Be Wrong About Elders Limited (ASX:ELD) Given Its Attractive Financial Prospects?""",0.0737295523285865,0.1706980168819427,0.7555723786354065,0.11337425063920811
EVN,2023-06-15,"""Estimating The Fair Value Of Evolution Mining Limited (ASX:EVN)""",0.0949186235666275,0.0115635739639401,0.893517792224884,0.15768628827394704
FMG,2023-06-30,"""With 54% institutional ownership, Fortescue Metals Group Limited (ASX:FMG) is a favorite amongst the big guns""",0.2166522890329361,0.0069411336444318,0.7764065861701965,0.5600589657906361
FMG,2023-06-18,"""Fortescue expands battery and electric powertrain output in UK with new plant""",0.9156955480575562,0.009854907169938,0.0744495764374733,0.3469782705292928
FMG,2023-06-08,"""‘I sell houses to the super-rich... and I was shocked by what I learnt about their lives’""",0.0754311457276344,0.0425645820796489,0.8820043206214905,0.1387648491348753
GOR,2023-06-15,"""Are Gold Road Resources Limited (ASX:GOR) Investors Paying Above The Intrinsic Value?""",0.0666819959878921,0.0303324218839406,0.9029855728149414,0.15935714384328137
HVN,2023-06-29,"""Calculating The Intrinsic Value Of Harvey Norman Holdings Limited (ASX:HVN)""",0.0448518432676792,0.0171426106244325,0.9380055665969848,0.4269047307554539
IEL,2023-06-05,"""What Does IDP Education Limited's (ASX:IEL) Share Price Indicate?""",0.0210196636617183,0.050649769604206,0.9283306002616882,0.14083382127270447
IFT,2023-06-12,"""Here's Why We Think Infratil (NZSE:IFT) Might Deserve Your Attention Today""",0.2629373669624328,0.0086762476712465,0.728386402130127,0.12157067715300286
IFT,2023-06-06,"""NZ's Infratil to buy stake in One New Zealand for $1.1 billion""",0.0742119923233985,0.0107568819075822,0.9150310754776,0.14042418092885356
IGO,2023-06-01,"""IGO's (ASX:IGO) three-year total shareholder returns outpace the underlying earnings growth""",0.7909361124038696,0.1181936785578727,0.0908702537417411,0.2303258763954695
ILU,2023-06-23,"""10 Largest Rare Earth Companies in the World""",0.1597286611795425,0.0110870786011219,0.8291842341423035,0.18868900400421418
ILU,2023-06-07,"""Iluka Resources Limited (ASX:ILU) is a favorite amongst institutional investors who own 57%""",0.185436725616455,0.0079089067876338,0.8066543340682983,0.12530062946763837
ILU,2023-06-27,"""Even though Iluka Resources (ASX:ILU) has lost AU$238m market cap in last 7 days, shareholders are still up 188% over 3 years""",0.9388485550880432,0.0384123176336288,0.0227390807121992,0.5833394055370155
IPL,2023-06-06,"""Incitec Pivot Limited (ASX:IPL) Stock Has Shown Weakness Lately But Financials Look Strong: Should Prospective Shareholders Make The Leap?""",0.0875797569751739,0.8332829475402832,0.0791372284293174,-0.2557575988973931
IPL,2023-06-10,"""Be Sure To Check Out Incitec Pivot Limited (ASX:IPL) Before It Goes Ex-Dividend""",0.0443534776568412,0.0153436474502086,0.940302848815918,0.1521012511158347
IPL,2023-06-27,"""A Look At The Intrinsic Value Of Incitec Pivot Limited (ASX:IPL)""",0.0550619922578334,0.0130298798903822,0.9319080710411072,0.28951352016795023
JBH,2023-06-05,"""Is It Too Late To Consider Buying JB Hi-Fi Limited (ASX:JBH)?""",0.029850922524929,0.0957666113972663,0.874382495880127,0.13264954113766175
JHX,2023-06-22,"""Best Momentum Stock to Buy for June 22nd""",0.0616721548140049,0.0164954047650098,0.9218324422836304,0.20017337146158926
JHX,2023-06-27,"""Is Now An Opportune Moment To Examine James Hardie Industries plc (ASX:JHX)?""",0.0389549992978572,0.0283044353127479,0.9327405691146852,0.289772150235984
JHX,2023-06-28,"""Best Momentum Stocks to Buy for June 28th""",0.0645384937524795,0.021575229242444,0.913886308670044,0.32961481136364823
JHX,2023-06-30,"""New Strong Buy Stocks for June 30th""",0.0647225305438041,0.0222509484738111,0.9130265116691588,0.6586094102926224
JHX,2023-06-30,"""Best Momentum Stocks to Buy for June 30th""",0.0625913813710212,0.0220104493200778,0.9153981804847716,0.6603202077120802
JHX,2023-06-05,"""James Hardie Industries (ASX:JHX) Is Reinvesting To Multiply In Value""",0.7915537357330322,0.0073489942587912,0.2010972648859024,0.24016775341573976
LOV,2023-06-14,"""Lovisa Holdings Limited (ASX:LOV) insiders, who hold 43% of the firm would be disappointed by the recent pullback""",0.0113137457519769,0.9635985493659972,0.0250877011567354,-0.33338221864836465
MCY,2023-06-09,"""Mercury NZ's (NZSE:MCY) five-year total shareholder returns outpace the underlying earnings growth""",0.6928185224533081,0.1881966739892959,0.1189847812056541,0.22095991085985892
MEZ,2023-06-03,"""Meridian Energy Limited (NZSE:MEL) Shares Could Be 26% Below Their Intrinsic Value Estimate""",0.0075320210307836,0.950982391834259,0.0414856187999248,-0.28241723918806355
MEZ,2023-06-17,"""Does Meridian Energy (NZSE:MEL) Deserve A Spot On Your Watchlist?""",0.1515768766403198,0.0124354260042309,0.8359876871109009,0.15435232455636227
MGR,2023-06-15,"""Market is not liking Mirvac Group's (ASX:MGR) earnings decline as stock retreats 6.4% this week""",0.0088392663747072,0.9727460741996764,0.0184146612882614,-0.34333668385418115
MIN,2023-06-07,"""Mineral Resources Limited (ASX:MIN) Shares Could Be 25% Below Their Intrinsic Value Estimate""",0.0077622067183256,0.9539154171943665,0.038322415202856,-0.29635048665893327
MP1,2023-06-08,"""Investors Appear Satisfied With Megaport Limited's (ASX:MP1) Prospects As Shares Rocket 34%""",0.9480711221694946,0.0280325729399919,0.02389632537961,0.2983181446192483
