Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
A2M,2022-11-02,"""UPDATE 1-NZ's a2 Milk gets temporary approval to export infant milk formula to U.S.""",0.9323298335075378,0.015344358049333,0.0523257777094841,0.2741181204402524
A2M,2022-11-05,"""Has The a2 Milk Company Limited (NZSE:ATM) Stock's Recent Performance Got Anything to Do With Its Financial Health?""",0.0162512920796871,0.8292028307914734,0.1545458287000656,-0.251590981138805
ABC,2022-11-16,"""Is It Too Late To Consider Buying Adbri Limited (ASX:ABC)?""",0.0288029182702302,0.0805404335260391,0.8906566500663757,0.16061824152319215
AFI,2022-11-13,"""Those who invested in Australian Foundation Investment (ASX:AFI) five years ago are up 46%""",0.911798357963562,0.0129274381324648,0.0752741917967796,0.3096679416401724
AIA,2022-11-04,"""Should You Think About Buying Auckland International Airport Limited (NZSE:AIA) Now?""",0.0467069670557975,0.0176085252314806,0.9356845021247864,0.14040022142512332
ALQ,2022-11-19,"""ALS Limited (ASX:ALQ) Is About To Go Ex-Dividend, And It Pays A 3.1% Yield""",0.0363732613623142,0.1228473260998725,0.8407793641090393,0.1638978488333853
ALU,2022-11-14,"""Keysight Licenses Simulation Software Technology to Altium for PCB Design Solutions""",0.136746272444725,0.0080519551411271,0.8552017211914062,0.1479397449229659
ANN,2022-11-08,"""Ansell Limited's (ASX:ANN) Intrinsic Value Is Potentially 32% Above Its Share Price""",0.196027010679245,0.0192787144333124,0.7846943140029907,0.12345516405508451
ANZ,2022-11-08,"""Australia and New Zealand Banking Group Full Year 2022 Earnings: EPS Beats Expectations""",0.7059756517410278,0.1538165658712387,0.1402078121900558,0.22214087281955663
APA,2022-11-17,"""Those who invested in APA Group (ASX:APA) five years ago are up 56%""",0.8816719651222229,0.010657949373126,0.1076700985431671,0.3255744538130687
APE,2022-11-24,"""At AU$12.20, Is It Time To Put Eagers Automotive Limited (ASX:APE) On Your Watch List?""",0.0485680513083934,0.0241432934999465,0.9272885918617249,0.22296577549197008
ASX,2022-11-30,"""IBM and Australian Stock Market’s Blockchain Projects Failed, a Blow to Private Ledgers""",0.010190300643444,0.9611295461654664,0.0286801140755414,-1.3866168299047785
ASX,2022-11-17,"""Australian Securities Exchange Cancels Blockchain-Based Clearing System at $168M Cost""",0.0122332908213138,0.934867799282074,0.0528989136219024,-0.3452180461431517
ASX,2022-11-16,"""Bourse operator ASX flags $172 million hit from clearing software replacement halt""",0.0146432863548398,0.9639215469360352,0.0214352831244468,-0.34766120889265906
AUB,2022-11-17,"""A number of insiders bought AUB Group Limited (ASX:AUB) stock last year, which is great news for shareholders""",0.8824783563613892,0.0149685824289917,0.1025531217455864,0.32587222940040383
AZJ,2022-11-17,"""Shareholders in Aurizon Holdings (ASX:AZJ) are in the red if they invested three years ago""",0.0220521856099367,0.2251642942428589,0.752783477306366,0.13898994136075724
AZJ,2022-11-02,"""Aurizon Holdings Limited (ASX:AZJ) insiders placed bullish bets worth AU$4.5m in the last 12 months""",0.0275455601513385,0.9077032804489136,0.0647512003779411,-0.2668775665131559
BAP,2022-11-28,"""Bapcor (ASX:BAP) shareholders have earned a 7.4% CAGR over the last five years""",0.7247830033302307,0.0120336199179291,0.2631833255290985,0.5228204223125664
BAP,2022-11-08,"""Bapcor Limited (ASX:BAP) is a favorite amongst institutional investors who own 53%""",0.2064853757619857,0.0078319227322936,0.7856826782226562,0.1236106623997361
BEN,2022-11-01,"""This Is Why Bendigo and Adelaide Bank Limited's (ASX:BEN) CEO Compensation Looks Appropriate""",0.154926910996437,0.0291611608117818,0.8159118890762329,0.11879949465312024
BGA,2022-11-17,"""Is There An Opportunity With Bega Cheese Limited's (ASX:BGA) 49% Undervaluation?""",0.2118681222200393,0.0333638042211532,0.7547680735588074,0.13935636666772414
BOQ,2022-11-29,"""Investors five-year losses continue as Bank of Queensland (ASX:BOQ) dips a further 3.8% this week, earnings continue to decline""",0.0096657071262598,0.975522518157959,0.0148118063807487,-0.8879588624851654
BPT,2022-11-28,"""Those who invested in Beach Energy (ASX:BPT) five years ago are up 61%""",0.8302801847457886,0.0110023571178317,0.1587174534797668,0.5989205525405608
BRG,2022-11-18,"""Breville Group Limited (ASX:BRG) Shares Could Be 25% Above Their Intrinsic Value Estimate""",0.0487911663949489,0.8405501246452332,0.1106586903333664,-0.3185039276004568
BSL,2022-11-13,"""Those who invested in BlueScope Steel (ASX:BSL) five years ago are up 34%""",0.8543001413345337,0.0099351499229669,0.1357646733522415,0.29014020918048805
BSL,2022-11-16,"""Shareholders May Not Be So Generous With BlueScope Steel Limited's (ASX:BSL) CEO Compensation And Here's Why""",0.055081058293581,0.0841631591320037,0.8607557415962219,0.15522600497719644
CAR,2022-11-27,"""Is Now An Opportune Moment To Examine carsales.com Ltd (ASX:CAR)?""",0.0382011570036411,0.031036090105772,0.9307627081871032,0.28915769319098045
CDA,2022-11-03,"""Insider Buying: The Codan Limited (ASX:CDA) Independent Non-Executive Director Just Bought 94% More Shares""",0.2957234978675842,0.011341311968863,0.6929351687431335,0.10289193520990951
CDA,2022-11-17,"""Is There An Opportunity With Codan Limited's (ASX:CDA) 23% Undervaluation?""",0.214308813214302,0.0595823526382446,0.7261087894439697,0.13406486872888
CEN,2022-11-09,"""Is The Market Rewarding Contact Energy Limited (NZSE:CEN) With A Negative Sentiment As A Result Of Its Mixed Fundamentals?""",0.0156191010028123,0.9502391815185548,0.0341416411101818,-0.3030588213784881
CGF,2022-11-24,"""The past five years for Challenger (ASX:CGF) investors has not been profitable""",0.0887653902173042,0.0134797301143407,0.8977548480033875,0.21586441119141872
CHC,2022-11-10,"""Those who invested in Charter Hall Group (ASX:CHC) five years ago are up 150%""",0.9028773307800292,0.0099734794348478,0.0871491879224777,0.292094768804965
CHC,2022-11-24,"""Jacqueline Chow Is The Independent Non-Executive Director of Charter Hall Group (ASX:CHC) And They Just Picked Up 82% More Shares""",0.1142671927809715,0.0082923592999577,0.8774404525756836,0.21097983160105108
CIP,2022-11-22,"""Centuria Industrial REIT (ASX:CIP) is largely controlled by institutional shareholders who own 63% of the company""",0.028780622407794,0.0164845362305641,0.9547348618507384,0.20731804109121957
CMW,2022-11-20,"""Great news for Cromwell Property Group (ASX:CMW): Insiders acquired stock in large numbers last year""",0.8423395156860352,0.0899013504385948,0.06775913387537,0.33898235805272575
COH,2022-11-01,"""FDA approves Cochlear's Nucleus 8 Sound Processor, smaller, smarter, better connected cochlear implant technology""",0.8690829873085022,0.0081188604235649,0.1227981299161911,0.2530827680934247
COH,2022-11-01,"""The Independent Non-Executive Chairman of the Board of Cochlear Limited (ASX:COH), Catriona Deans, Just Bought 13% More Shares""",0.1278104931116104,0.0104639660567045,0.8617255687713623,0.12547011934783256
COH,2022-11-16,"""Those who invested in Cochlear (ASX:COH) five years ago are up 21%""",0.9334006309509276,0.0132012693211436,0.0533980578184127,0.3366531153588832
CPU,2022-11-28,"""A Note On Computershare Limited's (ASX:CPU) ROE and Debt To Equity""",0.0287901498377323,0.0245612915605306,0.9466485977172852,0.34143130934780463
CSR,2022-11-29,"""Calculating The Intrinsic Value Of CSR Limited (ASX:CSR)""",0.0406001545488834,0.0167031101882457,0.942696750164032,0.42903978040647067
CSR,2022-11-07,"""CSR (ASX:CSR) Is Paying Out A Larger Dividend Than Last Year""",0.910552740097046,0.0531539097428321,0.0362932942807674,0.28287911359063667
CTD,2022-11-17,"""Investors in Corporate Travel Management (ASX:CTD) have unfortunately lost 30% over the last year""",0.0115027483552694,0.9727600812911988,0.0157371927052736,-0.3592105053648095
