Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
AFI,2023-10-05,"""Australian Foundation Investment (ASX:AFI) shareholders have earned a 5.9% CAGR over the last five years""",0.5921847820281982,0.0158426463603973,0.3919726014137268,0.17771561745982445
AGL,2023-10-19,"""Energy & Utilities Roundup: Market Talk""",0.0477721355855464,0.0249873343855142,0.927240550518036,0.17567646979711807
AIZ,2023-10-24,"""SAVE THE DATE - UATP'S AIRLINE DISTRIBUTION® 2024!""",0.0737738534808158,0.0123051377013325,0.913921058177948,0.20797169929846904
AIZ,2023-10-11,"""UPDATE 1-Air New Zealand eyes lower earnings for first half after 'unique' 2023""",0.0083312382921576,0.971779763698578,0.0198889933526515,-0.31438577061365536
AIZ,2023-10-05,"""Is Now The Time To Look At Buying Air New Zealand Limited (NZSE:AIR)?""",0.0533814840018749,0.014913011342287,0.9317055344581604,0.13980317408687085
AKE,2023-10-31,"""Livent Releases Third Quarter 2023 Results""",0.0185549724847078,0.0402625501155853,0.9411824941635132,0.6789196584506031
AKE,2023-10-25,"""September 2023 Quarterly Activities Report""",0.0183126162737607,0.0998166427016258,0.881870687007904,0.21204507780860776
AKE,2023-10-17,"""September Quarter Results Briefing""",0.0515858605504035,0.3792690336704254,0.5691450834274292,0.10263784867588593
AKE,2023-10-27,"""A Look At The Fair Value Of Allkem Limited (ASX:AKE)""",0.0557020492851734,0.0145602393895387,0.9297377467155457,0.259448258173879
ALD,2023-10-04,"""Investors in Ampol (ASX:ALD) have seen favorable returns of 60% over the past three years""",0.9504877924919128,0.0169089715927839,0.0326032303273677,0.2822703559418867
ALD,2023-10-18,"""With 56% ownership, Ampol Limited (ASX:ALD) boasts of strong institutional backing""",0.904409408569336,0.0088863186538219,0.0867041870951652,0.3339706952999727
ALL,2023-10-10,"""It's Game Time: Aristocrat Gaming™ Opens the 2023 Global Gaming Expo with Launch Portfolio of NFL-Themed Slot Machines""",0.3171333968639374,0.0105764418840408,0.6722901463508606,0.10720640831283419
ALL,2023-10-04,"""Aristocrat Gaming™ Ushers in a New Era of Slot Content at G2E 2023""",0.3504052460193634,0.0086435591802001,0.6409512162208557,0.09517298873966626
AMC,2023-10-26,"""Amcor, SK Geo Centric partner for supply of recycled content""",0.2640847563743591,0.0067051444202661,0.7292101383209229,0.18736994066116944
AMC,2023-10-04,"""Amcor's AmSky™ and AmPrima™ earn Walmart's 'Circular Connector' seal of approval""",0.859455943107605,0.0092331720516085,0.1313108950853347,0.2552362448983454
AMC,2023-10-14,"""Top 15 Bioplastics Companies in the World""",0.2253815680742263,0.0114181023091077,0.7632003426551819,0.12960029874201046
AMC,2023-10-25,"""Amcor (AMCR) to Report Q1 Earnings: What's in the Offing?""",0.0294619426131248,0.3338377177715301,0.6367003321647644,0.15309406862441025
AMC,2023-10-17,"""Amcor to report First Quarter 2024 results""",0.020257307216525,0.0450687929987907,0.9346739649772644,0.16855618676509052
AMC,2023-10-31,"""Packaging firm Amcor reports downbeat quarter on soft consumer demand""",0.012345990166068,0.9705517888069152,0.0171021912246942,-1.4002102526376492
AMC,2023-10-31,"""Amcor reports first quarter result and reaffirms outlook for fiscal 2024""",0.2465234547853469,0.2784412205219269,0.4750353395938873,0.3426655643395529
AMC,2023-10-22,"""12 Best Dividend Aristocrats with Over 3% Yield""",0.2605462670326233,0.0115820225328207,0.7278717160224915,0.15177304119146476
AMC,2023-10-19,"""7 Dividend Aristocrats to Batten Down the Hatches""",0.0614880472421646,0.1771618276834488,0.761350154876709,0.14424661153300986
AMC,2023-10-07,"""3 Dividend Aristocrats With Yields Over 4%""",0.1219030246138572,0.0158528797328472,0.8622440695762634,0.13232328439535304
ANN,2023-10-05,"""Ansell (ASX:ANN) shareholders have endured a 39% loss from investing in the stock three years ago""",0.0145214153453707,0.9668898582458496,0.0185886565595865,-0.29016522104011305
ANN,2023-10-19,"""Is There An Opportunity With Ansell Limited's (ASX:ANN) 48% Undervaluation?""",0.1922990977764129,0.0439022444188594,0.7637986540794373,0.1447105080871414
ANZ,2023-10-17,"""New Zealand Inflation Slowdown Sees Traders Pare Rate-Hike Bets""",0.1101701855659484,0.825599193572998,0.0642307102680206,-0.2977719655824229
ANZ,2023-10-18,"""Gold Rises to 11-Week High as Middle East Conflict Escalates""",0.7900172472000122,0.0957954004406929,0.1141873970627784,0.2917291735871312
ANZ,2023-10-26,"""Australia Is Struggling to Meet Its Agriculture Goals Amid Climate Chaos""",0.0113191790878772,0.9610435366630554,0.0276373270899057,-0.49387868043630695
ANZ,2023-10-25,"""Australia’s Hotter-Than-Expected Inflation Puts Hike in Play""",0.4541462361812591,0.4782198369503021,0.0676340013742446,-0.22997512907430986
ANZ,2023-10-17,"""RBA Has ‘Low Tolerance’ for Sticky Prices After Pausing Rate""",0.150668203830719,0.2057390362024307,0.6435927748680115,0.11606351308175591
APA,2023-10-10,"""Investors three-year losses continue as APA Group (ASX:APA) dips a further 3.5% this week, earnings continue to decline""",0.0101887537166476,0.9750632047653198,0.0147480424493551,-0.3109759220131033
APE,2023-10-29,"""Is Now An Opportune Moment To Examine Eagers Automotive Limited (ASX:APE)?""",0.0487701632082462,0.0191739331930875,0.9320558309555054,0.3361680812877874
APM,2023-10-16,"""We Like These Underlying Return On Capital Trends At APM Human Services International (ASX:APM)""",0.1037897914648056,0.0120854722335934,0.8841246962547302,0.15602861290158945
ARG,2023-10-23,"""Investing in Argo Investments (ASX:ARG) three years ago would have delivered you a 25% gain""",0.8867815732955933,0.0084970584139227,0.1047212854027748,0.38512434393576017
ASX,2023-10-04,"""ASX (ASX:ASX) investors are sitting on a loss of 23% if they invested three years ago""",0.0181336682289838,0.8809182047843933,0.1009481474757194,-0.2616099829838627
ASX,2023-10-31,"""ASX Limited (ASX:ASX) is favoured by institutional owners who hold 51% of the company""",0.0717976167798042,0.0088344160467386,0.9193680286407472,0.6631838478359342
ASX,2023-10-04,"""Sims Limited Releases 2023 Sustainability Reporting Suite""",0.0345742404460907,0.0230200588703155,0.9424057602882384,0.13993510042924026
AUB,2023-10-26,"""Most Shareholders Will Probably Find That The CEO Compensation For AUB Group Limited (ASX:AUB) Is Reasonable""",0.045109711587429,0.814963161945343,0.1399271339178085,-0.4188082180161225
AUB,2023-10-23,"""AUB Group (ASX:AUB) shareholders have earned a 22% CAGR over the last five years""",0.8114657998085022,0.0106072137132287,0.177927017211914,0.3524151191100413
AWC,2023-10-24,"""Rusal Secures China Alumina Supplies as Ukraine War Drags On""",0.9303773641586304,0.0297737475484609,0.0398488231003284,0.42343298621143355
AZJ,2023-10-12,"""Investors more bullish on Aurizon Holdings (ASX:AZJ) this week as stock advances 5.1%, despite earnings trending downwards over past three years""",0.6729187369346619,0.3067588806152344,0.0203223619610071,0.2210260396168552
BAP,2023-10-15,"""Bapcor (ASX:BAP) investors are sitting on a loss of 9.7% if they invested three years ago""",0.0187238063663244,0.8468883037567139,0.1343879699707031,-0.2930032448051404
BHP,2023-10-17,"""BHP iron ore production falls 4% in September qtr, guidance steady""",0.0081348903477191,0.9701335430145264,0.021731587126851,-0.3499017128767743
BHP,2023-10-18,"""BHP to Sell Coking Coal Mines to Whitehaven for $3.2 Billion""",0.0619304701685905,0.0118348523974418,0.9262346625328064,0.171015046574066
BHP,2023-10-21,"""'All those mouths need to be fed:' BHP CEO aims to dominate potash globally through Canada""",0.1920728981494903,0.0071448637172579,0.8007822632789612,0.16112924470367526
BHP,2023-10-18,"""BHP chief calls Canada 'really attractive' market as he hopes to invest beyond potash""",0.7923437356948853,0.0061169238761067,0.2015394419431686,0.2925882745350849
BHP,2023-10-31,"""BHP approves C$6.4 billion for stage two of the Jansen potash project, doubling investment in Canada and potash""",0.943779230117798,0.0164660662412643,0.0397547036409378,1.361585614984951
BHP,2023-10-29,"""The World’s Iron Ore Powerhouse Is Preparing to Reinvent Itself""",0.5016725063323975,0.0123637309297919,0.4859638214111328,0.3618802185180435
BHP,2023-10-24,"""Nervous Time to Be a Big Power Consumer in Australia, BHP Says""",0.2046884894371032,0.0269604139029979,0.7683510780334473,0.17484582276176544
BHP,2023-10-23,"""Teck Resources (TECK) Q3 Coal Volume Dips Y/Y Due to Wildfire""",0.0091339852660894,0.97390478849411,0.0169612914323806,-0.4229614755421455
BHP,2023-10-20,"""The Zacks Analyst Blog Highlights Visa, AbbVie, BHP Group, Caterpillar and Boston Scientific""",0.0328376628458499,0.0215303264558315,0.9456320405006408,0.18433737058974686
BHP,2023-10-19,"""Top Research Reports for Visa, AbbVie & BHP""",0.0375391170382499,0.0195612702518701,0.9428995847702026,0.1786432553376295
BHP,2023-10-05,"""Global miner BHP to focus on cost cuts, patient on M&A""",0.3278120458126068,0.034847754985094,0.6373401880264282,0.09563341416774529
BHP,2023-10-19,"""14 Largest Manganese Mining Companies and Best Manganese Stocks To Buy""",0.2354759126901626,0.0074832867830991,0.757040798664093,0.14343015404944995
BHP,2023-10-31,"""BHP Pushes Ahead With Giant Fertilizer Mine Expansion in Canada""",0.9053554534912108,0.0098414300009608,0.0848031044006347,1.3061518229935485
BHP,2023-10-16,"""Do Fundamentals Have Any Role To Play In Driving BHP Group Limited's (ASX:BHP) Stock Up Recently?""",0.4196218848228454,0.0163507126271724,0.5640274882316589,0.09953847799971176
BHP,2023-10-05,"""UPDATE 3-Global miner BHP to focus on cost cuts, patient on M&A""",0.4733726382255554,0.0291781928390264,0.4974492490291595,0.07464266486497916
BHP,2023-10-06,"""China’s Giant Iron Ore Buyer Starts Supply Talks With Miners""",0.1464843899011612,0.0152804926037788,0.8382351398468018,0.1271657509042653
BHP,2023-10-16,"""7 Mining Stocks Digging their Way to Greatness""",0.7651258707046509,0.0184636395424604,0.2164104729890823,0.270055861592564
BHP,2023-10-16,"""Rio Tinto rises as China demand fuels iron ore shipments""",0.7430217862129211,0.1555176675319671,0.1014605611562728,0.2622540896087839
BHP,2023-10-18,"""A $4.1 Billion Deal Shows Some Coal Mines Are Still in Demand""",0.8582543730735779,0.0318995751440525,0.1098460033535957,0.31692705427848333
BOQ,2023-10-24,"""Bank of Queensland Ltd's Dividend Analysis""",0.0329100675880909,0.0544467009603977,0.9126432538032532,0.2076809223820184
BOQ,2023-10-13,"""Bank of Queensland Full Year 2023 Earnings: Revenues Miss Expectations""",0.1101499944925308,0.8701304793357849,0.0197194758802652,-0.2904566896772469
BOQ,2023-10-11,"""BOQ CEO Says Tough Market, Not Leadership Changes, Weighed on Earnings""",0.0821936279535293,0.8286439776420593,0.0891624316573143,-0.26807913192578925
BPT,2023-10-06,"""Retail investors are Beach Energy Limited's (ASX:BPT) biggest owners and were hit after market cap dropped AU$319m""",0.011898698285222,0.9719940423965454,0.0161072518676519,-0.2949157018123083
BPT,2023-10-24,"""The three-year decline in earnings for Beach Energy ASX:BPT) isn't encouraging, but shareholders are still up 23% over that period""",0.9086210131645204,0.0725905746221542,0.0187883656471967,0.4135312441598832
BRG,2023-10-25,"""Breville Group (ASX:BRG) Is Reinvesting At Lower Rates Of Return""",0.3336850106716156,0.0134107852354645,0.6529042720794678,0.15699029258404446
BRG,2023-10-04,"""Estimating The Fair Value Of Breville Group Limited (ASX:BRG)""",0.0648895800113678,0.0129806147888302,0.92212975025177,0.13692437445501693
BSL,2023-10-04,"""Those who invested in BlueScope Steel (ASX:BSL) three years ago are up 52%""",0.8037382364273071,0.0096069443970918,0.1866547167301178,0.23868952328745516
BXB,2023-10-25,"""While institutions own 42% of Brambles Limited (ASX:BXB), retail investors are its largest shareholders with 58% ownership""",0.033073604106903,0.0159999169409275,0.9509264230728148,0.22864947246957174
BXB,2023-10-04,"""Brambles Limited (ASX:BXB) Stock Has Shown Weakness Lately But Financials Look Strong: Should Prospective Shareholders Make The Leap?""",0.1246860325336456,0.7733571529388428,0.1019567847251892,-0.2296671251904675
CAR,2023-10-23,"""At AU$28.45, Is carsales.com Ltd (ASX:CAR) Worth Looking At Closely?""",0.0537884905934333,0.0172089189291,0.929002583026886,0.20173034774122206
CAR,2023-10-09,"""Those who invested in carsales.com (ASX:CAR) five years ago are up 147%""",0.9036192297935486,0.0115481438115239,0.0848326608538627,0.2843310019373136
CBA,2023-10-04,"""Increases to CEO Compensation Might Be Put On Hold For Now at Commonwealth Bank of Australia (ASX:CBA)""",0.0403984300792217,0.2625222206115722,0.6970793008804321,0.1035072853820557
CBA,2023-10-25,"""Australia’s Hotter-Than-Expected Inflation Puts Hike in Play""",0.4541462361812591,0.4782198369503021,0.0676340013742446,-0.22997512907430986
CBA,2023-10-31,"""CIMB, J Trust among suitors for Indonesia's Bank Commonwealth -sources""",0.0924370214343071,0.0347214862704277,0.872841477394104,0.629622035459335
CBAPL,2023-10-25,"""Australia’s Hotter-Than-Expected Inflation Puts Hike in Play""",0.4541462361812591,0.4782198369503021,0.0676340013742446,-0.22997512907430986
CEN,2023-10-25,"""Contact Energy Limited (NZSE:CEN) is favoured by institutional owners who hold 53% of the company""",0.0781636238098144,0.0087608154863119,0.9130755662918092,0.21954826524101254
CEN,2023-10-08,"""Contact Energy's (NZSE:CEN) investors will be pleased with their favorable 89% return over the last five years""",0.940950095653534,0.0176041238009929,0.0414458103477954,0.29232258305337455
CGF,2023-10-03,"""With 46% stake, Challenger Limited (ASX:CGF) seems to have captured institutional investors' interest""",0.9164361953735352,0.0085114510729908,0.0750522539019584,0.2694451666682383
CHC,2023-10-26,"""Bullish Charter Hall Group Insiders Loaded Up On AU$843.8k Of Stock""",0.2235064953565597,0.1257717311382293,0.6507217884063721,0.16720242420295714
CHC,2023-10-05,"""Charter Hall Group (ASX:CHC) shareholders have earned a 9.7% CAGR over the last five years""",0.7418652772903442,0.01294188760221,0.2451928704977035,0.22263497784274283
CIA,2023-10-11,"""CHAMPION IRON PROVIDES NOTICE OF SECOND QUARTER RESULTS FOR FY2024 WITH CONFERENCE CALL WEBCAST DETAILS""",0.0276911333203315,0.0299436412751674,0.9423651695251464,0.15243484742522664
CIA,2023-10-02,"""Metals & Mining Virtual Investor Conference Agenda Announced for October 3rd- October 5th""",0.0362126044929027,0.0211611166596412,0.9426262378692628,0.13724952682381786
CIA,2023-10-25,"""CHAMPION IRON REPORTS ITS FY2024 SECOND QUARTER RESULTS, DECLARES DIVIDEND AND ADVANCES THE DRPF PROJECT""",0.0871473252773284,0.0106311021372675,0.9022215604782104,0.2169384285141694
CIA,2023-10-06,"""Champion Iron (ASX:CIA) shareholders have earned a 37% CAGR over the last five years""",0.7175569534301758,0.0099446019157767,0.2724984884262085,0.2177161621169976
CIA,2023-10-03,"""CHAMPION IRON FILES PREVIOUSLY ANNOUNCED UPDATED MINERAL RESOURCE AND RESERVE ESTIMATES FOR ITS BLOOM LAKE OPERATIONS""",0.0317379795014858,0.0285156350582838,0.93974632024765,0.13814933607122776
CIA,2023-10-06,"""Metals and Mining Virtual Investor Conference: Presentations Now Available for Online Viewing""",0.041809432208538,0.0162330456078052,0.9419574737548828,0.14290110707100234
CLW,2023-10-05,"""Charter Hall Long WALE REIT (ASX:CLW investor three-year losses grow to 27% as the stock sheds AU$166m this past week""",0.0154923740774393,0.976025938987732,0.0084816152229905,-0.2929069737488632
CNU,2023-10-04,"""Chorus (NZSE:CNU) shareholders have earned a 14% CAGR over the last five years""",0.7864260673522949,0.0119579900056123,0.2016159445047378,0.23354825565042614
COH,2023-10-20,"""Cochlear Limited's (ASX:COH) institutional investors lost 4.5% last week but have benefitted from longer-term gains""",0.0428820960223674,0.9452194571495056,0.0118983974680304,-0.3685138867946167
COH,2023-10-04,"""Investors in Cochlear (ASX:COH) have seen notable returns of 41% over the past five years""",0.9499831795692444,0.0180540680885314,0.0319628044962883,0.2821204989206607
COL,2023-10-15,"""Coles Group (ASX:COL) Could Be Struggling To Allocate Capital""",0.0116947703063488,0.9484190344810486,0.0398862473666667,-0.3281304669166091
CPU,2023-10-14,"""Those who invested in Computershare (ASX:CPU) three years ago are up 124%""",0.8796288967132568,0.0105089703574776,0.1098621860146522,0.29874244395524086
CPU,2023-10-04,"""Rithm (RITM) to Buy Computershare's Mortgage Arm for $720M""",0.0751230344176292,0.011155723594129,0.9137212634086608,0.13567582260990876
CPU,2023-10-02,"""UPDATE 2-Australia's Computershare to sell US mortgage portfolio for $720 mln""",0.5966483354568481,0.0170254558324813,0.3863262236118316,0.17374797864056193
CPU,2023-10-02,"""Rithm to acquire MSR player Computershare Mortgage Services for $720M""",0.0749157220125198,0.0113196251913905,0.9137646555900574,0.13304718410082966
CPU,2023-10-28,"""Can Computershare Limited (ASX:CPU) Maintain Its Strong Returns?""",0.8288853168487549,0.0094417473301291,0.1616728454828262,0.5150154041016443
CRN,2023-10-20,"""Coronado Global Resources' (ASX:CRN) investors will be pleased with their splendid 187% return over the last three years""",0.9379437565803528,0.0156752616167068,0.0463808849453926,0.36567730035364565
CRN,2023-10-02,"""U.S. Stocks Open Mostly Lower as Treasury Yields Jump After Washington Averts Government Shutdown""",0.0235263984650373,0.9389774799346924,0.0374962054193019,-0.27343651097717825
CSL,2023-10-05,"""UPDATE 1-Gene therapy maker UniQure to cut about 20% of workforce""",0.0128773432224988,0.9514437913894652,0.0356787666678428,-0.28552983122258585
CSL,2023-10-27,"""CSL and uniQure Win 2023 Prix Galien USA Award""",0.8883005976676941,0.0135871488600969,0.0981123447418212,0.49577000313016417
CSL,2023-10-25,"""CSL Limited's (ASX:CSL) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?""",0.213998258113861,0.044202085584402,0.7417996525764465,0.1783651133508659
CSL,2023-10-11,"""New Data Presented at IDWeek 2023 Demonstrates Public Health Benefit and Cost Savings Associated with Cell-Based and Adjuvanted Influenza Vaccines""",0.8943674564361572,0.0080033913254737,0.0976291075348854,0.289341692950369
CSL,2023-10-26,"""Health Canada Authorizes CSL's HEMGENIX® (etranacogene dezaparvovec) as First Gene Therapy for Hemophilia B""",0.7763276100158691,0.0075988848693668,0.216073527932167,0.39895347192302544
CSL,2023-10-11,"""CSL Signs Renewable-Linked Power Purchase Agreement with AGL to Supply Electricity to Australian Manufacturing Sites""",0.9024547934532166,0.0091296723112463,0.0884155109524726,0.291958071450209
CSR,2023-10-16,"""Are Investors Undervaluing CSR Limited (ASX:CSR) By 29%?""",0.4203922748565674,0.5191127061843872,0.0604950338602066,-0.18322400862378793
