Company,Date,Title,Positive,Negative,Neutral,ConfidenceScore
A2M,2023-09-21,"""The a2 Milk Company Limited (NZSE:ATM) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future?""",0.0279171522706747,0.9209845066070556,0.0510983392596244,-0.3840803712550199
A2M,2023-09-17,"""Synlait Milk hits record low as a2 Milk says will cancel exclusive rights""",0.0133442627266049,0.9604493975639344,0.0262064039707183,-0.3546645469027936
AIZ,2023-09-14,"""Declining Stock and Decent Financials: Is The Market Wrong About Air New Zealand Limited (NZSE:AIR)?""",0.0111696859821677,0.9572024345397948,0.0316279344260692,-0.33116931478617845
AIZ,2023-09-19,"""Here's Why Air New Zealand Limited's (NZSE:AIR) CEO Is Unlikely to Expect A Pay Rise This Year""",0.3554557561874389,0.4149935841560364,0.229550689458847,-0.16179406542620578
AIZ,2023-09-11,"""Air New Zealand sees 'significant' hit to flight schedule from RTX engine issue""",0.2426564395427703,0.7380666732788086,0.0192769709974527,-0.2424244486208177
AIZ,2023-09-11,"""UPDATE 2-Air New Zealand sees 'significant' hit to flight schedule from RTX engine issue""",0.1650844812393188,0.8201945424079895,0.0147210070863366,-0.26940006493146407
AKE,2023-09-25,"""James Bay Lithium Project Update Confirms Strong Project Economics""",0.9492085576057434,0.0190009605139493,0.0317904241383075,0.4877967043167736
AKE,2023-09-12,"""Allkem Limited's (ASX:AKE) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?""",0.2356379479169845,0.0429610833525657,0.7214009761810303,0.12040478091942364
AKE,2023-09-28,"""Update in relation to merger with Livent Corporation""",0.0343529880046844,0.0264714751392602,0.939175546169281,0.33873597574565134
AKE,2023-09-28,"""Update in relation to merger with Livent Corporation - revised""",0.0394084118306636,0.0190639290958642,0.9415276050567628,0.33958430166886355
AKE,2023-09-20,"""Allkem Limited 2023 Annual General Meeting Information""",0.0182198341935873,0.0602913834154605,0.9214887619018556,0.1854171789472398
ALD,2023-09-14,"""Has Ampol Limited (ASX:ALD) Stock's Recent Performance Got Anything to Do With Its Financial Health?""",0.0218509174883365,0.6351878046989441,0.3429612517356872,-0.21975989869250687
